,src,dst,index
0,costohfpiuxz,region,3
1,january,costohfpiuxz,3
2,s,fooling,1
3,s,warcrime,1
4,un,s,2
5,breitbartnew,t,1
6,business,t,1
7,commit,t,1
8,spbglobal,breitbartnew,1
9,spbglobal,business,1
10,spbglobal,commit,1
11,achondou,billyb2009,1
12,activist,achondou,1
13,activist,propagate,1
14,paulbiya,think,1
15,propagate,world,1
16,think,oppress,1
17,hand,impunity,1
18,prpaulbiya,hand,1
19,cucublinks,dasialfre,2
20,cucublinks,free,1
21,dasialfre,otherambazonian,2
22,free,otherambazonian,1
23,corinedonard,swear,1
24,god,swear,1
25,swear,state,2
26,antonioguterre,unhumanright,1
27,tanzaniagov,antonioguterre,1
28,germanyun,humanitariansituation,1
29,hope,receive,1
30,receive,humanitariansituation,1
31,rterdogan,germanyun,1
32,allow,southerncameroons,1
33,antonioguterre,t,1
34,carry,allow,1
35,un,antonioguterre,1
36,british,refuse,1
37,refuse,southerncameroon,1
38,bbcafrica,freeallarreste,1
39,bbcafrica,tell,1
40,freeallarreste,mancho,1
41,tell,mancho,1
42,ambazonia,fold,1
43,cameroun,start,1
44,fold,community,1
45,start,pain,1
46,paulbiya,say,1
47,say,freesoutherncameroon,1
48,biya,realdonaldtrump,1
49,biya,stop,2
50,realdonaldtrump,amnesty,1
51,stop,genocideinsoutherncameroon,1
52,stop,humanity,1
53,decry,siding,1
54,marktjones500,decry,1
55,marktjones500,unfold,1
56,unfold,genocide,1
57,execute,t,1
58,hitler,turn,1
59,house,execute,1
60,turn,southerncameroon,1
61,biya,concentrate,1
62,biya,turn,2
63,concentrate,bokoharam,1
64,turn,bokoharam,2
65,jeffflake,pose,2
66,pose,gun,1
67,pose,victim,1
68,derivade,colonial,2
69,substancialment,derivade,2
70,cnni,freeallarreste,2
71,freeallarreste,ambassador,1
72,freeallarreste,cameroon,1
73,eliesmith,payer,1
74,prpaulbiya,eliesmith,1
75,prpaulbiya,say,1
76,say,faith,1
77,derspiegel,freeallarreste,1
78,freeallarreste,t,1
79,bbcafrica,kill,2
80,bbcafrica,unhumanright,1
81,kill,camerounarmy,1
82,kill,genocideinsoutherncameroon,1
83,unhumanright,camerounarmy,1
84,ambazonia,await,2
85,await,fight,2
86,give,fight,1
87,liamfox,fight,1
88,mikekimbi,give,1
89,mikekimbi,liamfox,1
90,ambazonia,defend,2
91,ambazonia,thank,1
92,defend,billyb2009,1
93,defend,cameroun,1
94,thank,billyb2009,1
95,bow,shame,2
96,france,surrender,1
97,mandelaanc,succeed,2
98,succeed,shame,2
99,surrender,shame,1
100,time,bow,2
101,declare,t,1
102,discover,body,1
103,georgesoro,help,1
104,washingtonpost,declare,1
105,washingtonpost,discover,1
106,washingtonpost,georgesoro,1
107,help,genocideinsoutherncameroon,1
108,keeptheheat,help,1
109,cause,genocideinsoutherncameroon,1
110,cause,other,1
111,un,cause,2
112,au,kill,1
113,kill,t,1
114,accept,cooperation,1
115,ajnewsgrid,cooperation,1
116,ambazonia,ajnewsgrid,1
117,govt,accept,1
118,govt,know,1
119,know,cost,1
120,cyrilramaphosa,sing,3
121,sing,freesoutherncameroon,3
122,amnestywaro,need,1
123,need,personnel,1
124,go,genocideinsoutherncameroon,1
125,madness,go,1
126,look,mercurypublicaffair,1
127,un,look,1
128,allow,volume,1
129,biya,allow,1
130,biya,go,1
131,biya,speak,1
132,go,volume,1
133,speak,volume,1
134,etoudi2018,suffit,1
135,suffit,election,1
136,go,cry,1
137,go,t,1
138,go,victim,1
139,la,go,2
140,military,go,1
141,akwangaderek,work,1
142,work,activist,1
143,emmanuelmacron,recognize,1
144,recognize,respect,1
145,condxabhcos,ambazonian,1
146,swedeninusa,swedenun,1
147,swedenun,position,2
148,un,condxabhcos,1
149,un,swedenun,1
150,ambazonia,think,1
151,think,t,1
152,norwayun,persist,1
153,persist,bamenda,1
154,ambazonia,remove,3
155,remove,company,2
156,remove,prayer,1
157,abduct,civilian,1
158,whoemro,genocideinsoutherncameroon,1
159,whosearo,abduct,1
160,whosearo,whoemro,1
161,ambazonia,hold,1
162,ambazonia,kill,1
163,hold,cameroon,1
164,hold,law,1
165,itbmincom,hold,1
166,itbmincom,kill,1
167,kill,army,1
168,kill,part,1
169,biya2018,grandpa,1
170,biya2018,know,4
171,grandpa,vote,1
172,know,vote,4
173,antonioguterre,t,1
174,un,antonioguterre,1
175,commonwealthsec,gain,1
176,gain,independence,1
177,freeallarreste,crisis,1
178,kbaseme,freeallarreste,1
179,kbaseme,keep,2
180,kbaseme,stop,2
181,kbaseme,take,1
182,keep,force,1
183,keep,gift,1
184,stop,crisis,2
185,take,force,1
186,ambazonia,know,1
187,know,t,1
188,aucdpa,africanunion,1
189,cyrilramaphosa,aucdpa,1
190,anglophone,cameroun,1
191,cameroun,quoi,2
192,dite,quoi,1
193,du,cameroun,1
194,du,dite,1
195,stop,ambazonia,1
196,stopambazonia,stop,1
