,src,dst,index
0,cameroon,case,2
1,cameroon,covid19,5
2,cameroon,situation,1
3,cover,case,3
4,cover,covid19,4
5,cover,period,1
6,december,cameroon,2
7,december,cover,1
8,december,report,2
9,issue,case,2
10,issue,situation,1
11,issue,tool,3
12,minister,issue,1
13,moh,cover,1
14,remind,case,1
15,remind,covid19,1
16,remind,force,1
17,report,cameroon,5
18,report,cover,4
19,report,covid19,1
20,report,issue,3
21,report,period,2
22,report,report,1
23,report,situation,1
24,xa2,cameroon,1
25,xa2,cover,2
26,xa2,issue,2
27,xa2,remind,3
28,xa2,report,1
29,africa,change,2
30,africa,declare,1
31,africa,divide,1
32,africa,maintain,3
33,britain,divide,2
34,change,cameroon,2
35,change,conflict,1
36,change,country,3
37,declare,cameroon,1
38,declare,conflict,1
39,declare,country,1
40,divide,cameroon,2
41,divide,conflict,7
42,divide,country,2
43,divide,power,2
44,divide,region,2
45,france,declare,1
46,france,divide,1
47,france,maintain,1
48,french,change,3
49,french,declare,1
50,french,divide,10
51,french,maintain,2
52,maintain,cameroon,3
53,maintain,country,2
54,maintain,region,1
55,nigeria,change,1
56,nigeria,divide,1
57,cameroon,archbishop,1
58,cameroon,cameroon,4
59,fuanya,cameroon,3
60,fuanya,refer,14
61,fuanya,say,3
62,fuanya,speak,1
63,fuanya,spiral,1
64,fuanya,suppress,3
65,nkea,cameroon,2
66,nkea,refer,1
67,nkea,say,1
68,nkea,speak,1
69,refer,attack,1
70,refer,boy,1
71,refer,dialogue,3
72,refer,fide,5
73,refer,place,2
74,refer,planet,1
75,refer,region,2
76,say,archbishop,2
77,say,dialogue,1
78,say,fide,1
79,speak,boy,1
80,speak,dialogue,1
81,spiral,cameroon,1
82,suppress,cameroon,1
83,suppress,fide,1
84,suppress,place,1
85,africa,receive,1
86,become,conflict,1
87,become,crisis,1
88,come,conflict,1
89,come,country,1
90,come,crisis,2
91,come,organisation,1
92,come,yaounde,1
93,dennys,come,1
94,dennys,receive,1
95,duddridge,come,1
96,duddridge,meet,1
97,duddridge,say,3
98,duddridge,start,1
99,echo,dialogue,1
100,echo,yaounde,1
101,france,come,1
102,france,echo,1
103,meet,cameroon,1
104,meet,support,1
105,receive,cameroon,2
106,receive,conflict,3
107,receive,dialogue,2
108,receive,support,1
109,receive,yaounde,1
110,say,cameroon,1
111,say,conflict,3
112,say,crisis,1
113,say,dialogue,2
114,say,support,1
115,start,conflict,1
116,uk,become,2
117,uk,come,3
118,uk,echo,1
119,uk,meet,1
120,uk,receive,7
121,uk,say,5
122,arabia,come,2
123,arabia,offer,1
124,come,area,3
125,come,casualty,3
126,come,child,1
127,come,report,2
128,hear,area,2
129,hear,casualty,1
130,houthis,come,2
131,houthis,hear,1
132,houthis,make,1
133,houthis,offer,3
134,houthis,say,4
135,joubert,come,2
136,joubert,say,1
137,make,casualty,1
138,offer,area,3
139,offer,month,1
140,say,casualty,3
141,say,government,1
142,say,report,2
143,yemen,come,3
144,yemen,hear,2
145,yemen,say,1
146,cameroon,find,1
147,cameroon,include,2
148,cameroon,receive,1
149,council,include,2
150,council,receive,1
151,find,child,1
152,find,incident,1
153,find,region,1
154,haram,find,2
155,include,boy,2
156,include,child,6
157,include,incident,6
158,include,region,3
159,kill,child,2
160,moren,include,8
161,moren,kill,2
162,moren,verify,3
163,receive,child,2
164,un,include,5
165,un,verify,3
166,verify,child,2
167,verify,hospital,1
168,verify,incident,2
169,verify,region,1
170,deploy,delgado,2
171,deploy,militant,2
172,kill,crisis,1
173,mozambique,require,3
174,mozambique,run,1
175,mozambique,support,1
176,mozambique,take,2
177,palma,deploy,1
178,project,region,1
179,publicationsn,project,1
180,publicationsn,run,1
181,publicationsn,take,1
182,remain,government,1
183,remain,province,1
184,require,country,1
185,require,crisis,2
186,require,urgency,3
187,run,government,5
188,run,militant,1
189,run,region,1
190,shabbab,deploy,1
191,shabbab,take,2
192,support,crisis,1
193,take,delgado,1
194,take,government,1
195,take,militant,5
196,take,province,1
197,x94,deploy,2
198,x94,kill,1
199,x94,remain,2
200,x94,require,3
201,x94,run,5
202,x94,take,3
203,become,effect,3
204,become,separatist,1
205,become,woman,1
206,close,child,1
207,close,crisis,2
208,close,effect,2
209,close,separatist,1
210,come,effect,1
211,come,journalism,1
212,come,separatist,1
213,example,become,3
214,example,close,5
215,example,come,2
216,example,go,2
217,example,ignore,2
218,example,know,6
219,example,schoolmassacresboycottskidnapping,1
