,level_0,src,dst,index
0,594,ababa,explain,1
1,595,ababa,go,1
2,596,ababa,kill,1
3,597,abang,carry,1
4,598,abang,destroy,1
5,599,abang,explain,1
6,600,abang,say,2
7,601,abang,sit,1
8,26,abduct,violence,3
9,629,abduction,say,2
10,630,abduction,take,1
11,631,abduction,urge,4
12,632,abduction,yobe,3
13,657,accuse,separatist,1
14,658,accuse,violence,1
15,195,act,activist,5
16,196,act,region,1
17,197,act,role,1
18,463,add,area,1
19,464,add,group,3
20,465,add,home,1
21,466,add,mission,2
22,467,add,people,1
23,515,addedrnrn,change,4
24,516,addedrnrn,remember,1
25,517,addedrnrn,speeche,11
26,518,addedrnrn,use,8
27,741,administration,remain,1
28,742,administration,sentence,1
29,561,affairs,need,9
30,562,affairs,protect,5
31,563,affairs,start,2
32,564,affairs,ukraine,2
33,565,affairs,work,6
34,709,affect,community,2
35,710,affect,crisis,1
36,711,affect,family,1
37,712,affect,insecurity,3
38,713,affect,people,1
39,714,affect,violence,1
40,715,affect,vulnerability,1
41,778,africa,need,1
42,84,africa,view,2
43,531,africa,view,2
44,779,allege,cameroon,3
45,780,allege,force,1
46,781,allege,report,1
47,782,allege,u,2
48,423,ambazonia,claim,1
49,682,ambazonia,describe,1
50,683,ambazonia,happen,2
51,424,ambazonia,issue,1
52,425,ambazonia,take,1
53,783,ambush,report,2
54,566,annoh,need,2
55,567,annoh,work,2
56,426,announce,cameroon,1
57,427,announce,region,2
58,659,appear,area,3
59,168,appear,attack,1
60,660,appear,cameroon,6
61,169,appear,conflict,7
62,661,appear,force,1
63,170,appear,people,1
64,171,appear,power,3
65,662,appear,separatist,1
66,172,appear,u,9
67,663,appear,village,3
68,664,appear,violence,8
69,198,arrest,activist,1
70,214,arrest,cameroon,3
71,743,arrest,conflict,2
72,744,arrest,court,1
73,745,arrest,force,1
74,746,arrest,region,1
75,747,arrest,violation,1
76,748,assembly,arrest,1
77,749,assembly,continue,2
78,199,assira,act,1
79,200,assira,bibixy,1
80,215,assomo,count,1
81,216,assomo,read,1
82,361,atem,become,2
83,362,atem,get,1
84,363,atem,intensify,3
85,364,atem,make,1
86,365,atem,say,5
87,366,atem,take,1
88,116,attack,force,1
89,117,attack,people,2
90,118,attack,school,2
91,490,authenticate,cameroon,2
92,491,authenticate,region,1
93,665,bakary,accuse,1
94,666,bakary,appear,2
95,201,barlerin,act,2
96,202,barlerin,arrest,1
97,203,barlerin,complain,1
98,684,barlerin,respond,1
99,204,barlerin,say,1
100,685,barlerin,say,1
101,468,bashu,displace,1
102,469,bashu,say,1
103,667,bbc,appear,2
104,367,bbc,warn,1
105,47,become,cameroon,2
106,428,become,cameroon,1
107,429,become,cause,1
108,368,become,conflict,3
109,369,become,group,2
110,602,become,group,7
111,603,become,hundred,1
112,48,become,option,1
113,49,become,region,2
114,604,become,rifle,1
115,430,become,territory,1
116,270,begin,atrocity,1
117,50,begin,cameroon,1
118,205,bibixy,activist,1
119,206,bibixy,region,1
120,207,bibixy,role,2
121,784,bir,allege,3
122,785,bir,marginalize,1
123,786,bir,show,2
124,208,biya,act,4
125,217,biya,arrest,1
126,119,biya,attack,1
127,209,biya,bibixy,3
128,210,biya,complain,2
129,398,biya,consider,5
130,332,biya,deny,2
131,399,biya,escalate,1
132,51,biya,hold,1
133,218,biya,invite,1
134,400,biya,maintain,2
135,52,biya,provide,1
136,219,biya,read,1
137,120,biya,say,1
138,220,biya,say,1
139,333,biya,say,5
140,334,biya,share,3
141,335,biya,suspect,7
142,336,biya,walk,2
143,271,bloody,cameroon,2
144,272,bloody,cast,1
145,149,boycotts,involve,2
146,273,bring,end,1
147,274,bring,investigation,1
148,686,britain,happen,2
149,431,british,claim,1
150,432,british,issue,2
151,433,british,spread,1
152,240,buhari,come,1
153,241,buhari,report,1
154,242,buhari,say,5
155,243,buhari,spread,5
156,633,buhari,take,1
157,121,building,attack,2
158,122,building,erupt,1
159,123,building,give,1
160,124,building,restore,1
161,125,building,say,1
162,126,building,warn,3
163,370,call,conflict,1
164,579,cameroon,anglophone,1
165,275,cameroon,atrocity,2
166,53,cameroon,become,2
167,54,cameroon,begin,1
168,276,cameroon,begin,1
169,277,cameroon,cameroon,14
170,716,cameroon,cameroon,4
171,278,cameroon,cast,1
172,401,cameroon,consider,11
173,580,cameroon,crisis,1
174,402,cameroon,escalate,3
175,55,cameroon,hold,6
176,56,cameroon,mandate,2
177,57,cameroon,provide,2
178,581,cameroon,region,1
179,58,cameroon,remain,2
180,59,cameroon,take,2
181,403,cameroon,use,1
182,717,cameroon,violence,1
183,434,cameroun,announce,1
184,435,cameroun,claim,1
185,436,cameroun,declare,2
186,437,cameroun,issue,2
187,438,cameroun,spread,2
188,60,canada,provide,1
189,605,carry,fighter,1
190,606,carry,gun,1
191,750,carry,region,1
192,150,casc,increase,1
193,151,casc,involve,5
194,152,casc,rely,1
195,279,cast,atrocity,2
196,280,cast,cameroon,1
197,281,cast,medium,2
198,282,cast,people,4
199,283,cast,shoot,1
200,284,cast,soldier,1
201,285,cast,war,1
202,470,certify,area,1
203,519,change,cookie,1
204,520,change,result,1
205,521,change,service,1
206,522,change,work,1
207,751,charge,violation,3
208,286,claim,bring,2
209,439,claim,cameroon,1
210,287,claim,cast,9
211,288,claim,go,1
212,440,claim,independence,1
213,289,claim,post,2
214,290,claim,say,3
215,441,claim,territory,1
216,492,cnn,say,3
217,244,collate,killing,1
218,245,come,killing,1
219,246,come,rumour,1
220,752,commit,attack,3
221,753,commit,child,1
222,754,commit,civilian,1
223,755,commit,conflict,2
224,756,commit,force,1
225,757,commit,region,1
226,758,commit,violation,3
227,211,complain,government,2
228,212,complain,role,1
229,296,concern,injustice,3
230,404,consider,cameroon,8
231,405,consider,economy,1
232,406,consider,elite,1
233,407,consider,group,4
234,408,consider,marginalization,1
235,409,consider,region,1
236,410,consider,state,1
237,411,consider,system,1
238,297,contain,cameroon,1
239,298,contain,child,1
240,299,contain,injustice,1
241,300,contain,website,2
242,718,context,affect,10
243,719,context,continue,2
244,720,context,displace,2
245,721,context,exert,1
246,722,context,find,1
247,723,context,need,6
248,724,context,outline,2
249,687,continue,cameroon,1
250,759,continue,conflict,1
251,173,continue,force,1
252,760,continue,force,1
253,725,continue,people,1
254,0,continue,place,2
255,761,continue,region,1
256,174,continue,u,1
257,762,continue,violation,2
258,726,continue,vulnerability,1
259,763,council,charge,2
260,153,council,involve,2
261,568,council,work,2
262,221,count,nation,1
263,222,count,region,3
264,301,cross,cameroon,2
265,302,cross,killing,1
266,523,csvn,use,3
267,127,daoud,attack,2
268,493,daoud,authenticate,1
269,128,daoud,erupt,1
270,129,daoud,give,3
271,494,daoud,kill,2
272,495,daoud,nread,6
273,130,daoud,say,4
274,496,daoud,say,6
275,131,daoud,shoot,1
276,497,daoud,unleash,3
277,132,daoud,warn,3
278,442,declare,cameroon,1
279,443,declare,territory,1
280,371,deny,conflict,2
281,337,deny,footage,3
282,372,deny,group,1
283,338,deny,woman,1
284,688,describe,cameroon,1
285,689,describe,claim,1
286,607,destroy,group,1
287,582,deteriorate,crisis,2
288,471,displace,area,3
289,727,displace,origin,1
290,472,displace,people,5
291,728,displace,people,1
292,473,displace,state,2
293,1,displacement,indicate,6
294,2,displacement,remain,1
295,3,displacement,scale,2
296,4,displacement,seem,1
297,5,distribute,region,1
298,444,endeley,become,1
299,445,endeley,prepare,1
300,446,endeley,spread,1
301,787,english,allege,1
302,788,english,ambush,2
303,789,english,marginalize,2
304,790,english,protest,2
305,791,english,show,2
306,133,erupt,region,1
307,134,erupt,school,1
308,412,escalate,cameroon,1
309,413,escalate,cause,1
310,414,escalate,country,1
311,415,escalate,economy,1
312,583,establish,cookie,2
313,584,establish,crisis,2
314,585,establish,region,2
315,586,establish,system,3
316,729,exert,vulnerability,1
317,154,expand,group,3
318,608,explain,fighter,1
319,609,explain,group,1
320,668,eye,appear,4
321,247,eye,collate,1
322,248,eye,come,1
323,249,eye,say,2
324,250,eye,see,1
325,251,eye,spread,3
326,27,fail,conflict,2
327,730,find,origin,1
328,610,flee,group,1
329,587,follow,anglophone,1
330,28,fontaine,abduct,2
331,29,fontaine,fail,1
332,30,fontaine,involve,7
333,31,fontaine,say,1
334,32,fontaine,show,1
335,764,fontem,arrest,5
336,765,fontem,charge,1
337,766,fontem,commit,6
338,767,fontem,continue,1
339,768,fontem,remain,1
340,731,foreword,cameroon,1
341,61,french,become,1
342,416,french,consider,2
343,417,french,maintain,2
344,62,french,mandate,1
345,63,french,report,1
346,498,french,say,1
347,64,french,take,1
348,418,french,use,1
349,669,germany,appear,1
350,373,get,attack,1
351,85,get,group,2
352,374,get,group,2
353,532,get,group,2
354,135,give,cameroon,2
355,136,give,force,1
356,137,give,people,1
357,86,go,group,1
358,611,go,group,1
359,291,go,investigation,1
360,252,god,make,1
361,253,god,spread,1
362,375,grey,become,2
363,376,grey,deny,1
364,377,grey,get,1
365,378,grey,intensify,1
366,379,grey,take,1
367,690,grow,violence,2
368,691,happen,atrocity,1
369,692,happen,cameroon,1
370,693,happen,claim,3
371,694,happen,people,1
372,695,happen,protest,2
373,696,happen,situation,3
374,697,happen,violence,7
375,769,haram,commit,2
376,770,haram,continue,1
377,87,hear,information,1
378,533,hear,information,1
379,380,hierarchy,call,1
380,381,hierarchy,deny,2
381,382,hierarchy,get,1
382,383,hierarchy,take,2
383,6,highlight,area,1
384,65,hold,cameroon,3
385,66,hold,crisis,2
386,67,hold,option,3
387,68,hold,region,1
388,670,house,appear,1
389,175,house,continue,1
390,671,house,say,1
391,384,hrw,warn,1
392,303,ignore,cameroon,1
393,304,ignore,country,1
394,672,incident,accuse,1
395,673,incident,appear,12
396,674,incident,say,3
397,675,incident,show,2
398,155,increase,civilian,1
399,156,increase,fatality,1
400,157,increase,group,3
401,7,indicate,area,2
402,8,indicate,force,4
403,9,indicate,place,4
404,10,indicate,region,9
405,88,inform,information,1
406,534,inform,information,1
407,385,intensify,conflict,3
408,386,intensify,group,1
409,499,international,authenticate,2
410,500,international,kill,3
411,501,international,say,1
412,223,invite,cameroon,2
413,224,invite,separatist,1
414,33,involve,atrocity,1
415,34,involve,child,12
416,158,involve,civilian,1
417,35,involve,conflict,5
418,159,involve,fatality,6
419,160,involve,government,2
420,161,involve,group,11
421,36,involve,violence,2
422,612,irin,become,1
423,613,irin,flee,1
424,614,irin,kill,1
425,615,irin,say,1
426,447,issue,cameroon,3
427,448,issue,independence,1
428,449,issue,region,1
429,450,issue,territory,1
430,387,jams,become,1
431,388,jams,take,2
432,771,january,carry,1
433,772,january,commit,2
434,305,jazeera,publish,1
435,306,jazeera,report,1
436,698,join,protest,1
437,773,kessoum,commit,1
438,11,kidnap,region,1
439,502,kill,cameroon,3
440,616,kill,fighter,1
441,617,kill,group,4
442,618,kill,gun,1
443,619,kill,journey,1
444,503,kill,separatist,2
445,620,kill,village,1
446,419,maintain,group,2
447,420,maintain,region,2
448,389,make,camp,1
449,792,make,security,1
450,254,make,wickedness,1
451,793,make,workforce,1
452,69,mandate,cameroon,2
453,70,mandate,option,1
454,71,mandate,region,1
455,794,marginalize,livestock,1
456,795,marginalize,region,1
457,796,marginalize,u,2
458,225,minister,invite,1
459,226,minister,read,1
460,89,monitor,information,1
461,535,monitor,information,1
462,90,monitor,power,1
463,536,monitor,power,1
464,91,monitor,uplift,1
465,537,monitor,uplift,1
466,474,msf,add,3
467,475,msf,certify,1
468,476,msf,displace,2
469,477,msf,say,3
470,451,nations,announce,1
471,452,nations,issue,1
472,453,nations,spread,1
473,732,ncameroonn,cameroon,4
474,733,ncameroonn,foreword,1
475,12,ncameroonn,highlight,1
476,569,need,area,1
477,570,need,crisis,1
478,734,need,crisis,2
479,735,need,origin,1
480,571,need,people,9
481,736,need,people,2
482,797,need,region,1
483,737,need,vulnerability,1
484,621,nigeria,become,1
485,588,nigeria,cameroon,3
486,292,nigeria,cast,1
487,307,nigeria,concern,2
488,589,nigeria,deteriorate,2
489,590,nigeria,establish,9
490,591,nigeria,follow,1
491,37,nigeria,involve,1
492,308,nigeria,report,1
493,255,nigeria,spread,1
494,454,nigeria,spread,1
495,592,nigeria,start,1
496,478,nigerias,displace,1
497,256,nnitomeya,report,1
498,257,nnitomeya,say,1
499,258,nnitomeya,spread,4
500,309,noctober,ignore,1
501,310,noctober,put,2
502,504,nread,attack,2
503,505,nread,cameroon,1
504,506,nread,incident,1
505,507,nread,region,1
506,508,nread,separatist,1
507,162,nwhat,expand,3
508,163,nwhat,increase,4
509,164,nwhat,involve,11
510,165,nwhat,post,1
511,311,olu,contain,4
512,312,olu,cross,2
513,313,olu,ignore,1
514,314,olu,put,2
515,315,olu,reveal,1
516,738,outline,community,1
517,739,outline,people,1
518,179,pak,prevent,2
519,180,pak,rnt,5
520,181,pak,seem,4
521,182,pak,use,11
522,634,party,urge,1
523,774,paul,continue,1
524,635,pdp,urge,1
525,316,politica,concern,1
526,317,politica,contain,1
527,318,politica,cross,1
528,319,politica,put,2
529,320,politica,report,2
530,321,politica,reveal,1
531,322,politica,watch,1
532,293,post,atrocity,2
533,166,post,group,1
534,455,prepare,territory,1
535,138,president,say,1
536,339,president,say,2
537,340,president,share,1
538,183,prevent,minority,2
539,572,protect,crisis,2
540,573,protect,people,3
541,798,protest,cameroon,2
542,799,protest,region,2
543,800,protest,u,2
544,72,provide,cameroon,2
545,73,provide,option,1
546,74,provide,region,1
547,323,publish,child,1
548,324,put,cameroon,3
549,325,put,injustice,2
550,326,put,killing,1
551,227,read,arrest,2
552,228,read,cameroon,3
553,229,read,count,3
554,230,read,country,1
555,231,read,invite,1
556,232,read,life,1
557,233,read,nation,2
558,234,read,read,7
559,235,read,say,7
560,236,read,separatist,3
561,479,refugees,displace,1
562,480,refugees,say,4
563,13,region,continue,1
564,14,region,indicate,12
565,15,region,kidnap,1
566,16,region,scale,1
567,17,region,start,1
568,167,rely,group,1
569,18,remain,area,1
570,75,remain,cameroon,1
571,76,remain,region,1
572,775,remain,violation,2
573,524,remember,service,2
574,327,report,country,2
575,77,report,crisis,2
576,328,report,injustice,1
577,259,report,killing,1
578,329,report,killing,1
579,260,report,month,1
580,740,republic,cameroon,1
581,38,republic,involve,6
582,699,respond,violence,3
583,139,restore,force,1
584,330,reveal,website,2
585,184,rnt,country,1
586,185,rnt,minority,2
587,186,rnt,region,1
588,187,rnt,site,1
589,92,saturday,hear,1
590,538,saturday,hear,1
591,636,say,abduction,1
592,481,say,area,1
593,676,say,area,1
594,509,say,attack,1
595,140,say,cameroon,4
596,237,say,cameroon,4
597,510,say,cameroon,3
598,341,say,child,1
599,39,say,conflict,1
600,390,say,conflict,3
601,93,say,country,1
602,238,say,country,2
603,261,say,country,2
604,539,say,country,1
605,677,say,descent,1
606,637,say,disagreement,3
607,342,say,face,1
608,343,say,footage,1
609,141,say,force,2
610,391,say,force,1
611,638,say,girl,3
612,482,say,group,3
613,622,say,group,4
614,344,say,hand,1
615,623,say,home,1
616,392,say,image,1
617,511,say,incident,3
618,94,say,information,1
619,540,say,information,1
620,345,say,investigation,1
621,262,say,killing,1
622,346,say,killing,1
623,40,say,leader,1
624,294,say,medium,2
625,678,say,medium,1
626,483,say,mission,1
627,347,say,operation,2
628,142,say,people,1
629,295,say,people,1
630,484,say,people,1
631,700,say,people,1
632,263,say,problem,5
633,485,say,refugee,2
634,239,say,region,2
635,512,say,region,4
636,639,say,region,1
637,640,say,report,1
638,213,say,role,1
639,486,say,state,1
640,679,say,violence,1
641,348,say,woman,1
642,19,scale,area,1
643,20,scale,region,2
644,264,see,market,1
645,21,seem,area,1
646,188,seem,country,1
647,189,seem,minority,1
648,190,seem,region,2
649,776,sentence,region,1
650,641,sesay,say,7
651,642,sesay,take,4
652,643,sesay,urge,3
653,644,sesay,yobe,3
654,349,share,face,2
655,350,share,footage,2
656,143,shoot,brutal,1
657,801,show,force,2
658,802,show,region,2
659,680,show,village,1
660,681,show,violence,1
661,41,show,war,1
662,624,sit,group,1
663,95,smith,get,1
664,541,smith,get,1
665,96,smith,view,4
666,542,smith,view,4
667,525,speeche,file,9
668,526,speeche,result,2
669,351,spokeswoman,deny,2
670,352,spokeswoman,say,2
671,353,spokeswoman,suspect,1
672,456,spread,cameroon,3
673,265,spread,country,3
674,266,spread,month,1
675,267,spread,problem,7
676,457,spread,region,1
677,268,spread,rumour,1
678,458,spread,territory,3
679,269,spread,tribe,2
680,593,start,anglophone,1
681,574,start,area,2
682,22,start,region,1
683,701,start,violence,1
684,803,states,allege,3
685,176,states,appear,9
686,177,states,continue,1
687,804,states,make,2
688,805,states,marginalize,1
689,806,states,protest,4
690,807,states,stop,1
691,808,stop,security,1
692,354,suspect,footage,2
693,355,suspect,investigation,2
694,356,suspect,killing,2
695,357,suspect,neck,1
696,358,suspect,operation,1
697,645,take,abduction,1
698,78,take,cameroon,2
699,393,take,conflict,3
700,646,take,disagreement,3
701,394,take,group,2
702,395,take,image,1
703,459,take,region,1
704,647,take,report,1
705,79,take,state,1
706,648,take,state,1
707,702,u,continue,1
708,703,u,describe,1
709,704,u,grow,2
710,705,u,happen,14
711,706,u,join,1
712,707,u,respond,2
713,708,u,start,1
714,527,uk,remember,1
715,42,ukraine,involve,1
716,575,ukraine,people,2
717,487,un,add,5
718,80,un,become,2
719,488,un,displace,5
720,81,un,hold,2
721,82,un,mandate,1
722,83,un,report,1
723,489,un,say,1
724,23,unhcr,continue,1
725,24,unhcr,distribute,1
726,25,unhcr,indicate,1
727,43,unicef,abduct,1
728,44,unicef,fail,1
729,45,unicef,involve,5
730,46,unicef,say,1
731,513,unleash,incident,1
732,514,unleash,separatist,2
733,97,update,event,1
734,543,update,event,1
735,98,update,information,3
736,544,update,information,3
737,649,urge,abduction,3
738,650,urge,disagreement,3
739,651,urge,girl,2
740,652,urge,report,1
741,421,use,cameroon,1
742,191,use,cookie,4
743,528,use,cookie,2
744,529,use,file,7
745,422,use,group,1
746,192,use,minority,3
747,193,use,region,3
748,194,use,site,1
749,530,use,work,2
750,460,victoria,announce,1
751,461,victoria,become,2
752,462,victoria,spread,1
753,99,view,country,1
754,545,view,country,1
755,100,view,group,2
756,546,view,group,2
757,101,view,information,1
758,547,view,information,1
759,102,view,thing,7
760,548,view,thing,7
761,103,view,website,1
762,549,view,website,1
763,359,walk,face,1
764,360,walk,woman,1
765,104,want,thing,1
766,550,want,thing,1
767,105,want,uplift,1
768,551,want,uplift,1
769,396,warn,attack,1
770,144,warn,cameroon,1
771,145,warn,election,2
772,146,warn,force,1
773,397,warn,group,1
774,147,warn,people,1
775,148,warn,region,1
776,331,watch,website,1
777,777,waza,commit,1
778,106,west,monitor,2
779,552,west,monitor,2
780,107,west,view,3
781,553,west,view,3
782,108,whole,get,1
783,554,whole,get,1
784,109,whole,go,1
785,110,whole,inform,1
786,555,whole,inform,1
787,111,whole,monitor,1
788,556,whole,monitor,1
789,112,whole,say,2
790,557,whole,say,2
791,113,whole,update,4
792,558,whole,update,4
793,114,whole,view,3
794,559,whole,view,3
795,115,whole,want,2
796,560,whole,want,2
797,576,work,area,2
798,577,work,crisis,4
799,578,work,organisation,4
800,625,x93,become,7
801,626,x93,carry,1
802,627,x93,kill,6
803,628,x93,say,2
804,178,x94,appear,12
805,653,yobe,abduction,3
806,654,yobe,disagreement,1
807,655,yobe,region,1
808,656,yobe,state,1
