,src,dst,index
0,fight,ambazonia,2
1,nigeria,fight,2
2,ce,pay,2
3,pay,ambazonia,2
4,put,httpst,1
5,u,put,1
6,restore,other,1
7,un,restore,1
8,un,want,1
9,want,freedom,1
10,ambazonia,excite,1
11,ambazonia,struggle,1
12,excite,course,1
13,struggle,course,1
14,irinnews,watch,1
15,watch,cameroon,1
16,english,want,1
17,want,rise,1
18,english,want,1
19,irinnews,want,1
20,want,httpst,1
21,want,rise,1
22,Li,shiyoutoshiteiru,1
23,english,want,1
24,shiyoutoshiteiru,rise,1
25,want,rise,1
26,english,want,1
27,irinnews,want,1
28,want,httpst,1
29,want,rise,1
30,bafoussam,pay,1
31,mais,pay,1
32,pay,httpst,2
33,bless,httpst,1
34,god,bless,1
35,bless,httpst,1
36,god,bless,1
37,english,want,1
38,want,rise,1
39,bless,dadatweak,1
40,rnkwenchi,bless,1
41,bless,struggle,1
42,god,bless,1
43,die,httpst,1
44,shamy,die,1
45,lns,remain,1
46,remain,httpst,1
