,src,dst,index
0,allegrozzi,arrest,1
1,allegrozzi,hold,4
2,allegrozzi,say,2
3,allegrozzi,tell,1
4,arrest,arrest,3
5,arrest,demonstration,1
6,arrest,people,2
7,arrest,police,1
8,arrest,protest,1
9,hold,abuse,5
10,hold,arrest,1
11,hold,charge,1
12,hold,demonstration,1
13,hold,people,2
14,hold,protest,3
15,hold,watch,1
16,ilaria,arrest,1
17,ilaria,hold,1
18,ilaria,release,2
19,minister,arrest,2
20,minister,hold,2
21,party,arrest,4
22,party,hold,6
23,party,say,3
24,release,release,2
25,say,abuse,1
26,say,election,1
27,say,people,1
28,say,watch,2
29,tell,police,1
30,union,hold,1
31,biya,declare,1
32,biya,illustrate,1
33,biya,lead,1
34,biya,say,1
35,declare,ceasefire,1
36,declare,conflict,2
37,declare,focus,2
38,declare,number,1
39,declare,official,1
40,illustrate,conflict,5
41,illustrate,number,3
42,illustrate,official,1
43,illustrate,people,1
44,lead,conflict,2
45,say,ceasefire,1
46,say,conflict,4
47,say,number,3
48,say,people,1
49,scdf,declare,2
50,scdf,illustrate,4
51,scdf,lead,1
52,tell,conflict,2
53,titanji,declare,1
54,titanji,say,3
55,virus,illustrate,3
56,virus,say,3
57,war,declare,3
58,war,illustrate,2
59,war,say,2
60,war,tell,2
61,arrive,focus,1
62,arrive,say,5
63,arrive,see,2
64,arrive,serve,1
65,arrive,start,2
66,c,say,3
67,focus,inbox,1
68,hill,say,1
69,hill,serve,1
70,james,say,4
71,james,serve,3
72,say,comment,1
73,say,inbox,1
74,say,issue,8
75,say,people,2
76,say,tremor,1
77,see,folder,1
78,see,sun,1
79,serve,comment,1
80,serve,folder,1
81,serve,people,3
82,start,issue,2
83,act,crisis,1
84,agovc,include,1
85,argue,cameroon,2
86,argue,fighter,1
87,argue,x93,1
88,argue,yaounde,1
89,begin,leader,1
90,cambridge,argue,3
91,cambridge,condemn,1
92,cambridge,continue,1
93,cambridge,emerge,1
94,cambridge,include,1
95,cambridge,read,2
96,civilians,act,1
97,condemn,cameroon,1
98,condemn,leader,1
99,continue,cameroon,1
100,emerge,cameroon,1
101,emerge,x93,1
102,ig,argue,2
103,ig,begin,1
104,ig,condemn,1
105,ig,emerge,1
106,ig,include,10
107,ig,read,4
108,include,cameroon,2
109,include,crisis,2
110,include,force,2
111,include,government,1
112,include,leader,3
113,include,x93,2
114,read,cameroon,4
115,read,crisis,1
116,read,government,1
117,ayaba,call,1
118,biya,commit,1
119,biya,escalate,1
120,call,separatist,3
121,commit,region,1
122,commit,separatist,1
123,declare,force,2
124,declare,separatist,1
125,dieudonn,declare,1
126,dieudonn,escalate,5
127,dieudonn,say,1
128,dieudonn,tell,1
129,escalate,cameroon,1
130,escalate,civilian,3
131,escalate,election,3
132,escalate,force,1
133,escalate,region,3
134,escalate,separatist,3
135,estimate,civilian,1
136,estimate,region,1
137,ilaria,escalate,1
138,ilaria,estimate,1
139,ilaria,tell,1
140,movement,call,2
141,movement,commit,1
142,movement,declare,2
143,movement,escalate,7
144,movement,estimate,1
145,movement,say,2
146,movement,take,1
147,say,cameroon,1
148,say,civilian,1
149,say,region,1
150,take,cameroon,1
151,tell,force,1
152,tell,separatist,1
153,army,fight,2
154,biya,fight,1
155,biya,protest,2
156,biya,say,4
157,fight,cameroon,1
158,fight,conflict,3
159,macron,fight,1
160,macron,protest,3
161,macron,rally,1
162,macron,say,6
163,macron,want,1
164,protest,apologize,1
165,protest,cameroon,2
166,protest,conflict,1
167,protest,criticism,1
168,rally,president,1
169,say,cameroon,3
170,say,conflict,3
171,say,criticism,2
172,say,president,2
173,sleep,want,1
174,want,apologize,1
175,want,cameroon,1
176,aim,representation,1
177,beendifficult,ensue,1
178,beendifficult,identify,1
179,beendifficult,wasdivide,4
180,biya,ensue,3
181,biya,identify,1
182,biya,wasdivide,1
183,continue,region,1
184,english,engulf,1
185,english,wasdivide,1
186,engulf,region,1
187,ensue,cameroon,3
188,ensue,law,1
189,ensue,power,1
190,ensue,region,2
191,ensue,representation,1
192,ensue,southwest,1
193,ensue,woman,1
194,ensue,word,1
195,example,aim,1
196,example,continue,1
197,example,ensue,7
198,example,identify,3
199,example,wasdivide,3
200,identify,cameroon,3
201,identify,power,2
202,identify,state,1
203,intensify,region,1
204,wasdivide,cameroon,2
205,wasdivide,law,1
206,wasdivide,power,2
207,wasdivide,region,1
208,wasdivide,representation,3
209,yaound,identify,1
210,yaound,intensify,1
211,accuse,conflict,1
212,accuse,dynamic,2
213,accuse,tension,1
214,continue,cameroon,2
215,continue,conflict,2
216,displace,conflict,2
217,displace,people,1
218,displace,pressure,1
219,displace,tension,1
220,engage,cameroon,2
221,engage,conflict,5
222,engage,people,1
223,engage,pressure,2
224,engage,separatist,1
225,force,conflict,1
226,massacre,cameroon,1
227,massacre,conflict,1
228,massacre,government,1
229,massacre,massacre,3
230,mbororo,accuse,3
231,mbororo,continue,2
232,mbororo,displace,2
233,mbororo,engage,3
234,particular,accuse,1
235,particular,continue,2
236,particular,displace,2
