,src,dst,index
0,ambazonia,rape,1
1,rape,amp,1
2,realize,collaboration,1
3,somaliland,collaboration,1
4,westernsahara,realize,1
5,westernsahara,somaliland,1
6,ambazonia,demand,2
7,demand,endanglophonecrisis,1
8,demand,sisikuayuktabe,1
9,treat,imagine,1
10,treat,treat,1
11,cameroun,neveragain,1
12,neveragain,southerncameroon,1
13,reuter,potus,1
14,voanews,reuter,1
15,au,genocideinsoutherncameroon,1
16,chair,au,1
17,answer,master,1
18,end,master,1
19,france,answer,1
20,france,end,1
21,france,promote,1
22,promote,scrtweet,1
23,abolish,effect,2
24,ambazonia,abolish,2
25,aggravate,southerncameroon,2
26,continue,southerncameroon,1
27,germanyincmr,aggravate,2
28,germanyincmr,continue,1
29,demand,warprisoner,1
30,prpaulbiya,demand,1
31,amnesty,statedept,2
32,statedept,ambazonia,1
33,statedept,msf,1
34,ambazonia,ignore,1
35,ignore,request,1
36,fear,bamenda,1
37,fear,region,1
38,fredericktakang,fear,2
39,ambazonia,free,1
40,fall,country,1
41,fall,people,1
42,free,country,1
43,judgement,fall,2
44,prevent,determinationfreedom,2
45,un,prevent,2
46,abdulkarimalisc,make,2
47,cohenonafrica,make,1
48,make,ambazonia,3
49,ambazonia,ask,2
50,ambazonia,think,1
51,ambazonia,want,2
52,ask,contact,2
53,think,info,1
54,want,cameroun,1
55,want,info,1
56,deny,military,1
57,factfindingmission,mourn,1
58,gt,deny,1
59,gt,recnise,1
60,mourn,t,1
61,recnise,lover,1
62,russiaun,ambazonia,1
63,west,russiaun,1
64,do,ambazonian,2
65,uncameroon,ambazonian,1
66,unsg,do,2
67,unsg,uncameroon,1
68,cameroun,know,1
69,know,supplier,1
70,fail,war,1
71,france,stop,1
72,justice,freedom,1
73,stop,freedom,1
74,stop,southerncameroon,2
75,un,fail,1
76,unosapg,justice,1
77,unosapg,stop,2
78,cameroon,ambazonia,1
79,france,cameroon,1
80,france,free,1
81,france,leave,1
82,france,whatthewomensay,1
83,free,cameroon,1
84,leave,cameroon,1
85,whatthewomensay,cameroon,1
86,help,ambazonia,1
87,hrw,thank,1
88,thank,cameroon,1
89,ukparliament,help,1
90,listen,advice,2
91,pple,listen,2
92,ambazonia,know,2
93,billyb2009,defend,1
94,billyb2009,know,1
95,billyb2009,tell,1
96,defend,freedom,1
97,know,background,2
98,know,freedom,1
99,tell,cameroon,1
100,biya,say,2
101,say,ambazonia,1
102,say,period,1
103,unitedstate,war,1
104,westafrica,unitedstate,1
105,africa,stop,1
106,stop,genocideinsoutherncameroon,1
107,africa,get,2
108,ambazonia,get,2
109,ambazonia,lead,1
110,get,type,4
111,lead,destiny,1
112,advise,cameroon,1
113,france,advise,1
114,antonioguterre,ambazonia,1
115,antonioguterre,genocide,1
116,la,antonioguterre,2
117,biya,lie,1
118,biya,stop,3
119,lie,lie,1
120,stop,genocideinsoutherncameroon,1
121,stop,lie,1
122,stop,slave,1
123,belgium,come,1
124,belgium,eucommission,1
125,come,dismantlenigerianowandsavelive,1
126,eucommission,dismantlenigerianowandsavelive,1
127,ericateh2,vet,2
128,vet,firepower,2
129,commit,ambazonia,1
130,commit,integrity,1
131,france,commit,2
132,erase,history,2
133,paulbiya,erase,2
134,paulbiya,welcome,1
135,welcome,history,1
136,ambazonia,rape,1
137,rape,t,1
138,barackobama,doubledownnew,1
139,continue,southerncameroon,2
140,doubledownnew,southerncameroon,1
141,organisation,continue,2
142,spirit,take,2
143,take,matter,1
144,take,use,1
145,heros,join,1
146,heros,let,1
147,heros,thank,1
148,join,celebration,1
149,let,ambazonia,1
150,thank,team,1
151,show,conflict,1
152,swedeninusa,show,1
153,africa,build,1
154,africa,go,2
155,build,bamenda,1
156,go,member,2
157,blame,genocideinsoutherncameroon,1
158,thomson,blame,1
159,thomson,warn,3
160,warn,genocideinsoutherncameroon,3
161,continue,eucommission,1
162,let,eucommission,1
163,uk,continue,1
164,uk,let,1
165,ambazonia,need,1
166,need,cameroonian,1
167,ambazonia,cause,1
168,cause,death,2
169,chrdaafrica,rfkhumanright,1
170,covg0virazf1,cause,1
171,covg0virazf1,record,1
172,france,leave,1
173,leave,death,1
174,record,death,1
175,rfkhumanright,death,1
176,lavastorm3,start,1
177,prpaulbiya,want,1
178,start,ambazonia,1
179,want,ambazonia,1
180,cameroun,stop,1
181,cameroun,tiborpnagyjr,1
182,stop,century,1
183,tiborpnagyjr,century,1
184,approach,t,3
185,butabukwifor,approach,3
186,answer,blood,1
187,chrisdennysuk,answer,1
188,lie,blood,2
189,uk,lie,2
190,bring,teacher,1
191,hrw,bring,1
192,hrw,tell,1
193,hrw,way,1
194,tell,ambazonia,1
195,way,education,1
196,ddr,drop,1
197,ddr,reach,2
198,ddr,stay,1
199,drop,buea,1
200,reach,buea,2
201,stay,pig,1
202,ambazonia,bring,2
203,assimilate,solution,1
204,bring,solution,3
205,france,assimilate,1
206,france,bring,1
207,france,give,3
208,give,cameroon,3
209,killer,pay,1
210,pay,ambazonia,1
211,brusselsbiafraonemillionmarch,collude,1
212,brusselsbiafraonemillionmarch,say,2
213,collude,race,1
214,say,oduduwanation,2
215,invade,ambazonia,2
216,potus,invade,2
217,potus,stand,1
218,stand,ambazonia,1
219,ambazonia,watch,2
220,biafrantweet,t,1
221,enhance,tactic,1
222,irimfaen,biafrantweet,1
223,irimfaen,enhance,1
224,watch,submission,1
225,watch,t,1
226,encourage,t,1
227,hysacam,terroristcameroun,1
228,management,encourage,1
229,management,hysacam,1
230,cameroon,genocide,1
231,unhumanrights,cameroon,1
232,britain,sell,1
233,britain,speak,1
234,sell,evidence,1
235,speak,evidence,1
236,havocs,help,2
237,help,africanunion,2
238,destabilize,amp,2
239,get,amp,3
240,people,destabilize,2
241,people,get,3
242,chrisguilhou,divide,5
243,chrisguilhou,leave,1
244,divide,ambazonia,4
245,divide,work,1
246,leave,ambazonia,1
247,bless,ambazonia,1
248,god,bless,1
249,know,amp,2
250,paievska,swap,1
251,yulia,know,2
252,yulia,paievska,1
253,continue,ambazonia,1
254,kedge23,continue,1
255,europe,ignore,1
256,europe,secblinken,1
257,ignore,cameroun,1
258,secblinken,antonioguterre,1
259,brussels,kick,1
260,kick,stage,1
261,give,essengue,1
262,wife,give,1
263,continue,africanunion,1
264,paulbiya,continue,1
265,act,channel,1
266,america,lead,1
267,end,channel,1
268,lead,fact,1
269,refuse,channel,1
270,sme,act,1
271,sme,end,1
272,sme,refuse,1
273,america,believe,1
274,america,visit,2
275,believe,ambazonia,1
276,visit,ambazonia,2
277,allow,referendum,1
278,antonioguterre,people,1
279,call,people,1
280,oduduwa,allow,1
281,oduduwa,antonioguterre,1
282,oduduwa,call,1
283,naftalibennett,partition,1
284,nigeria,supply,1
285,partition,selfdetermination,1
