,src,dst,index
0,cameroon,ree,2
1,ree,cameroon,2
2,antonioguterre,freesoutherncameroon,1
3,restorationnow,antonioguterre,1
4,deserve,determination,1
5,guanduania,deserve,1
6,guanduania,union,2
7,union,chaos,1
8,union,determination,1
9,ajenglish,freesoutherncameroon,1
10,cnnafrica,ajenglish,1
11,freeallareste,freesoutherncameroon,1
12,god,freeallareste,1
13,cop0ndqodbhb,voice,1
14,put,httpst,1
15,unhumanrights,cop0ndqodbhb,1
16,unhumanrights,put,1
17,find,leader,1
18,mariekhlaire,find,1
19,organicborder,leader,1
20,un,organicborder,1
21,gerrymubang,think,1
22,think,antonioguterre,1
23,biya,stop,1
24,stop,httpst,1
25,biya,freeallarreste,1
26,freeallarreste,freesoutherncameroon,1
27,un,wfp,1
28,wfp,freezama,1
29,hope,look,1
30,look,freesoutherncameroon,1
31,govern,time,2
32,u,govern,2
33,ambazonia,cookvfxzsefy,1
34,ambazonia,freeallarreste,2
35,cookvfxzsefy,httpst,1
36,freeallarreste,httpst,2
37,pmofcanada,want,1
38,want,freesoutherncameroon,1
39,cnni,freeallarreste,1
40,freeallarreste,freesoutherncameroon,1
41,god,incapacite,1
42,god,save,1
43,incapacite,freesoutherncameroon,1
44,save,freesoutherncameroon,1
45,freeallarreste,freesoutherncameroon,1
46,julianasange,freeallarreste,1
47,htclevis,thank,1
48,zestysteelers,htclevis,1
49,tassang,watch,1
50,watch,httpst,1
51,freeallarreste,httpst,1
52,msnbc,freeallarreste,1
53,ghosttownscontinue,bringbackourinternet,1
54,kot,ghosttownscontinue,1
55,e,want,1
56,want,httpst,1
57,bbcbreake,form,1
58,kumbo,bbcbreake,1
59,achieve,72yrs,1
60,un,achieve,1
61,resolution1608,stopthegenocide,1
62,stopthegenocide,stopthekilling,1
63,antonioguterre,injustice,1
64,un,antonioguterre,1
65,bringbackourinternet,freeallarreste,1
66,freeallarreste,freenkongho,1
67,cnni,realdonaldtrump,1
68,realdonaldtrump,freesoutherncameroon,1
69,bringbackourinternet,freeallarreste,3
70,freeallarreste,httpst,3
71,go,paubiya,1
72,stoptalke,paubiya,1
73,un,go,1
74,un,stoptalke,1
75,add,intervention,1
76,ls,add,1
77,freeallarrrste,bundage,1
78,god,freeallarrrste,1
79,f,stand,1
80,stand,eucommission,1
81,ajenglish,httpst,1
82,cnnafrica,ajenglish,1
83,coituariisd1,httpst,1
84,prpaulbiya,coituariisd1,1
85,hrwdispatche,httpst,1
86,unhrc,hrwdispatche,1
87,ambazonia,co7vpgrx7vg2,1
88,co7vpgrx7vg2,httpst,1
89,add,killing,1
90,cameroon,add,1
91,atch,happen,2
92,happen,lawyer,2
93,declare,war,1
94,happen,ambazonia,1
95,paul,declare,1
96,paul,put,1
97,put,ambazonia,2
98,world,happen,1
99,world,put,1
100,love,resist,1
101,love,say,1
102,love,thank,1
103,love,wish,1
104,resist,ambazonia,1
105,say,presentation,1
106,thank,secessionist,1
107,wish,presentation,1
108,delay,case,2
109,ustice,delay,2
110,end,genocide,1
111,end,killing,2
112,iya,end,3
113,mbarakanamozo,remember,1
114,remember,stopgenocideonsoutherncameroonian,1
115,putinrfeng,school,1
116,school,freesoutherncameroon,1
117,crtvweb,freesoutherncameroon,1
118,prpaulbiya,crtvweb,1
119,get,independence,1
120,la,get,1
121,need,independence,1
122,unspokesperson,need,1
123,freeallarreste,httpst,1
124,theresamay,freeallarreste,1
125,stop,barberism,1
126,usa,stop,1
127,cut,killingsrape,1
128,internet,cut,1
129,freeallarreste,antonioguterre,1
130,iankiku,rise,1
131,restorationnow,freeallarreste,1
132,rise,antonioguterre,1
133,ambazonia,thank,2
134,thank,matthewleeicp,2
135,100s,jail,1
136,jail,ajstream,1
137,cotbdgdfxxya,school,2
138,hope,school,1
139,u,cotbdgdfxxya,2
140,u,hope,1
141,ambazonia,freeallarreste,1
142,freeallarreste,httpst,1
143,amnesty,mean,1
144,mean,httpst,1
145,newtgingrich,stop,1
146,stop,southerncameroon,1
147,coachkaymashfi1,tell,1
148,tell,genocide,1
149,ambazonia,realdonaldtrump,1
150,realdonaldtrump,africanunion,1
151,statedept,httpst,1
152,unhumanrights,statedept,1
153,innercitypress,prove,1
154,prove,freesoutherncameroon,1
155,continue,ambazonia,2
156,give,ambazonia,1
157,god,continue,2
158,god,give,1
159,un,want,1
160,want,war,1
161,ambazonia,freeallarreste,1
162,freeallarreste,httpst,1
163,attack,refuse,1
164,bbcafrica,refuse,1
165,refuse,httpst,1
166,refuse,school,1
167,apply,httpst,1
168,bringbackourinternet,apply,1
169,bringbackourinternet,freeallarreste,1
170,freeallarreste,httpst,1
171,commonwealthsec,go,1
172,go,statue,1
173,matter,ambazoniawillbefree,1
174,matter,carnage,1
175,mete,ambazoniawillbefree,1
176,un,matter,2
177,un,mete,1
178,commonwealthsec,handsoffourchurche,1
179,handsoffourchurche,httpst,1
180,biya,killerpresident,1
181,killerpresident,dictator,1
182,debraunhill,freeallarreste,1
183,freeallarreste,resist,1
184,ride,hand,2
185,scbctv,resist,1
186,sisikuayuktabe,ride,2
187,sisikuayuktabe,scbctv,1
188,biya,co6ezditenv4,1
189,biya,tell,1
190,co6ezditenv4,httpst,1
191,tell,httpst,1
192,ambazonia,freeallarreste,1
193,freeallarreste,httpst,2
194,un,freeallarreste,1
195,rwanda,take,1
196,take,freesoutherncameroon,1
197,dans,quelque,1
198,quelque,instant,1
199,miss,date,1
200,solomon,miss,1
201,freeallarreste,httpst,1
202,vp,freeallarreste,1
203,demiitarize,freesoutherncameroon,1
204,restorationnow,demiitarize,1
205,la,sing,1
206,le,sing,1
207,sing,trouble,2
208,happen,freesoutherncameroon,1
209,number10gov,happen,1
210,honwirbajoseph,relise,1
211,relise,courage,1
212,nigeria,send,2
213,send,freesoutherncameroon,1
214,send,scmr,1
215,cameroon,freedomfreedomfreedomweneed,1
216,freedomfreedomfreedomweneed,ajenglish,1
217,discuss,crisis,1
218,moussafakim,discuss,1
219,let,freesoutherncameroon,1
220,prpaulbiya,let,1
221,ay,rise,2
222,rise,bringbackourinternet,1
223,rise,freesoutherncameroon,1
224,lpine,plan,2
225,plan,version,2
226,send,condolence,1
227,unpga,send,1
228,bbcafrica,realdonaldtrump,1
229,realdonaldtrump,freesoutherncameroon,1
230,ajnewsgrid,justiceincameroon,1
231,cnni,ajnewsgrid,1
232,ambazonia,say,1
233,say,homeland,1
234,accept,bringbackourinternet,1
235,paulbiya,accept,1
236,paulbiya,stop,1
237,stop,bringbackourinternet,1
238,antonioguterre,httpst,2
239,god,antonioguterre,1
240,un,antonioguterre,1
241,insist,httpst,1
242,persist,insist,1
243,freeallarreste,boycottmtncameroon,1
244,ont,freeallarreste,1
245,ont,stop,1
246,stop,boycottmtncameroon,1
247,see,hypocrite,1
248,world,see,1
249,cnni,listen,1
250,listen,unhumanright,1
251,ee,paulbiya,1
252,paulbiya,freesoutherncameroon,1
253,freeallarreste,freesoutherncameroon,1
254,unhumanrights,freeallarreste,1
255,ambaexit,stop,2
256,baretanew,killing,1
257,stop,killing,2
258,tapangivo,baretanew,1
259,ambazonia,free,1
260,ambazonia,freeallarreste,1
261,ambazonia,invite,1
262,ambazonia,look,4
263,free,potus,1
264,freeallarreste,httpst,1
265,invite,potus,1
266,look,httpst,3
267,look,potus,1
268,freeallarreste,httpst,1
269,stopgenocite,freeallarreste,1
270,stopgenocite,want,1
271,want,cameroon,1
272,cnnmoney,help,1
273,help,httpst,1
274,cnnafrica,need,1
275,need,httpst,1
276,repchrissmith,repmarkmeadow,1
277,repmarkmeadow,httpst,1
278,biya,freeallarreste,1
279,freeallarreste,independencewegot,1
280,hope,visit,2
281,visit,govt,1
282,visit,people,1
283,e,tolerate,2
284,tolerate,ambazonia,2
285,bringbackourinternet,need,1
286,need,age,1
287,biya,cojskjqb8nlb,1
288,biya,stop,2
289,cojskjqb8nlb,cameroon,1
290,stop,abuse,1
291,stop,cameroon,1
292,biya,stop,1
293,stop,cameroonian,1
294,biya,continue,2
295,continue,world,2
296,stop,httpst,1
297,un,stop,1
298,ambazonia,freeallarreste,1
299,freeallarreste,freesoutherncameroon,1
300,cover,cameroon,1
301,cover,freesoutherncameroon,1
302,itvnews,cover,2
303,prpaulbiya,receive,1
304,prpaulbiya,show,1
305,receive,ambazonia,1
306,show,httpst,1
307,stop,hypocrisy,1
308,unsg,stop,1
309,e,refuse,1
310,refuse,freesoutherncameroon,1
311,inform,ukunnewyork,1
312,ouve,inform,1
313,offer,problem,2
314,prpaulbiya,offer,2
315,prpaulbiya,regard,1
316,regard,freesoutherncameroon,1
317,house,stand,2
318,stand,freesoutherncameroon,2
319,accessnow,freeallarreste,2
320,freeallarreste,stopthekilling,2
321,ambazonia,annex,1
322,annex,force,1
323,do,freeourslearder,1
324,prpaulbiya,do,1
325,e,free,1
326,e,freeallarreste,1
327,e,issue,1
328,e,stand,1
329,free,accomplice,1
330,freeallarreste,warning,1
331,issue,warning,1
332,stand,people,1
333,100s,close,1
334,close,httpst,1
335,call,httpst,1
336,ovt,call,1
337,need,bbc,1
338,unhumanrights,need,1
339,mbazonias,want,1
340,want,httpst,1
