,src,dst,index
341,realdonaldtrump,httpst,2
342,snowden,realdonaldtrump,2
343,freeallarreste,republique,1
344,people,freeallarreste,1
345,people,shame,1
346,shame,republique,1
347,houseofcommon,bringbackourinternet,1
348,theresamay,houseofcommon,1
349,ambazonia,freeallarreste,1
350,freeallarreste,freesoutherncameroon,1
351,aminajmohamme,antonioguterre,1
352,praise,antonioguterre,1
353,prpaulbiya,aminajmohamme,1
354,prpaulbiya,praise,1
355,africa,fix,1
356,africa,rack,1
357,fix,httpst,1
358,rack,policy,1
359,declare,genocide,1
360,declare,httpst,1
361,leave,httpst,1
362,menwomeninfirmedchildren,leave,1
363,realdonaldtrump,httpst,1
364,world,declare,2
365,world,realdonaldtrump,1
366,continue,freeourleader,2
367,rep,continue,2
368,cnnafrica,help,1
369,help,unhumanright,1
370,freeallarreste,httpst,1
371,vp,freeallarreste,1
372,iammanyu,see,1
373,see,unsc,1
374,fear,confusion,1
375,fight,fight,1
376,u,fear,1
377,u,fight,1
378,bbcafrica,refuse,1
379,refuse,56yr,2
380,sugar,refuse,1
381,stop,barberism,1
382,usa,stop,1
383,cameroon,understand,2
384,understand,culture,1
385,understand,freedom,1
386,say,httpst,1
387,solidarity,say,1
388,biya,freeallarreste,1
389,biya,label,1
390,freeallarreste,man,1
391,label,terrorist,1
392,freeallarreste,freeayahpaul,1
393,unhumanrights,freeallarreste,1
394,bbcafrica,today,2
395,today,ambazonia,2
396,ajenglish,bringbackourinternet,1
397,bbcafrica,ajenglish,1
398,cease,exist,1
399,exist,cease,1
400,gid,think,1
401,think,people,1
402,fter,go,1
403,go,people,1
404,describe,dog,1
405,nations,describe,1
406,rob,determination,1
407,stop,genocideinsoutherncameroon,1
408,un,rob,1
409,un,stop,1
410,biya,continue,1
411,continue,freesoutherncameroon,1
412,dlaminizuma,freeallarreste,1
413,freeallarreste,bringbackourinternet,1
414,bringbackourinternet,join,1
415,join,campaign,1
416,bringbackourinternet,freeallarreste,1
417,freeallarreste,httpst,1
418,ambazonia,freeallarreste,1
419,freeallarreste,httpst,1
420,mbarakanamozo,thank,1
421,thank,freesoutherncameroon,1
422,freeallarreste,freesoutherncameroon,1
423,freeallarreste,letsi,1
424,thamas,freeallarreste,2
425,kill,mess,1
426,u,kill,1
427,realdonaldtrump,httpst,1
428,unpga,realdonaldtrump,1
429,bringbackourinternet,protestify,1
430,protestify,httpst,1
431,pay,httpst,1
432,prpaulbiya,pay,1
433,stop,httpst,1
434,un,stop,1
435,know,ambazonia,2
436,prpaulbiya,know,2
437,barackobama,stopthegenocide,2
438,stopthegenocide,cameroonian,2
439,antonioguterre,unsc,1
440,un,antonioguterre,1
441,bringbackourinternet,freeallarreste,1
442,freeallarreste,notodictatorship,1
443,amosfofung,continue,2
444,amosfofung,freeallarreste,1
445,continue,httpst,1
446,continue,truth,1
447,freeallarreste,httpst,1
448,biya,freeallarreste,1
449,biya,receive,1
450,freeallarreste,httpst,1
451,receive,alleyesonyou,1
452,make,referendumforsoutherncameroon,1
453,voice,make,1
454,cameroun,live,2
455,live,amp,2
456,amp,educate,1
457,educate,httpst,1
458,educate,southerncameroon,1
459,world,educate,1
460,antonioguterre,unhumanright,1
461,freeallarreste,cameroon,1
462,go,ajstream,1
463,go,cameroon,1
464,shame,antonioguterre,1
465,un,freeallarreste,1
466,un,go,2
467,biya,want,1
468,want,freesoutherncameroon,1
469,innercitypress,join,1
470,join,freesoutherncameroon,1
471,commission,promote,1
472,commission,talk,1
473,promote,multiculturalism,1
474,talk,multiculturalism,1
475,celebrate,httpst,1
476,prpaulbiya,celebrate,1
477,crtvweb,force,1
478,nigeria,try,1
479,prpaulbiya,crtvweb,1
480,try,force,1
481,freeallarreste,cameroon,1
482,freeallarreste,freefontem,1
483,vladduthierscbs,freeallarreste,2
484,innercitypress,say,1
485,say,freesoutherncameroon,1
486,bringbackourinternet,freeallarreste,1
487,freeallarreste,httpst,1
488,eduacate,rape,1
489,un,eduacate,1
490,go,bringbackourinternet,1
491,mbarakanamozo,go,1
492,freeallarreste,freesoutherncameroon,1
493,repkarenbass,freeallarreste,1
494,ajstream,freeallarreste,1
495,freeallarreste,httpst,1
496,question,freesoutherncameroon,1
497,u,question,1
498,feel,freenkongho,1
499,u,feel,1
500,prove,bringbackourinternet,1
501,rrest,prove,1
502,prpaulbiya,stop,1
503,stop,unsc,1
504,un,wait,1
505,wait,cameroon,1
506,antonioguterre,httpst,1
507,protest,force,1
508,un,antonioguterre,1
509,un,protest,1
510,aupsd,freeallarreste,1
511,freeallarreste,httpst,1
512,freeallarreste,freesoutherncameroon,1
513,freenkongho,freeallarreste,1
514,antonioguterre,ambaperspective,2
515,prpaulbiya,antonioguterre,2
516,antonioguterre,httpst,1
517,unhumanrights,antonioguterre,1
518,bring,freesoutherncameroon,1
519,freeourpeople,bring,1
520,aucdpa,httpst,1
521,bbcafrica,aucdpa,1
522,bilan,cadre,1
523,cadre,op,1
524,lead,parliament,1
525,ndam,lead,1
526,appointee,come,2
527,come,cameroon,2
528,iya,set,1
529,set,freesoutherncameroon,1
530,colonise,freesoutherncameroon,1
531,france,colonise,1
532,bilai,call,1
533,bilai,need,1
534,call,antonioguterre,1
535,need,antonioguterre,1
536,guanduania,help,1
537,help,httpst,1
538,mbarakanamozo,think,1
539,think,freesoutherncameroon,1
540,demand,httpst,1
541,unhumanrights,demand,1
542,ambazonia,begin,1
543,ambazonia,call,1
544,ambazonia,let,1
545,ambazonia,love,1
546,ambazonia,make,1
547,begin,job,1
548,call,job,1
549,let,job,1
550,love,job,1
551,make,job,1
552,give,ambazonia,1
553,know,httpst,1
554,prpaulbiya,give,1
555,prpaulbiya,know,1
556,ajenglish,innercitypress,1
557,andrewchappelle,ajenglish,1
558,bringbackourinternet,freeallarreste,1
559,freeallarreste,freesoutherncameroon,1
560,ajenglish,freesoutherncameroon,1
561,bbcafrica,ajenglish,1
562,cocuofuykr1i,unhumanright,1
563,pscotlandcsg,cocuofuykr1i,1
564,bringbackourinternet,freeallarreste,1
565,bringbackourinternet,hank,1
566,freeallarreste,httpst,1
567,hank,innercitypress,1
568,intercongeneva,let,1
569,let,wile,1
570,la,secede,2
571,secede,cameroon,2
572,become,cameroonian,2
573,itbmincom,become,1
574,prpaulbiya,become,1
575,atl,protestify,1
576,protestify,httpst,1
577,drop,antonioguterre,1
578,nigeria,antonioguterre,1
579,say,antonioguterre,1
580,un,drop,1
581,un,nigeria,1
582,un,say,1
583,bringbackourinternet,bringbackourleadersandboy,1
584,bringbackourleadersandboy,freesoutherncameroon,1
585,dibussi,anglophone,1
586,la,dibussi,1
587,la,show,2
588,show,anglophone,1
589,show,httpst,1
590,commit,ambazonia,1
591,prpaulbiya,commit,1
592,freeallarreste,notoschoolresumption,1
593,un,freeallarreste,1
594,realjameswood,crisis,1
595,un,realjameswood,1
596,un,watch,1
597,watch,freesoutherncameroon,1
598,kill,cameroon,1
599,mourn,kill,1
600,mincomcameroun,read,1
601,read,statement,1
602,antonioguterre,cameroon,1
603,un,antonioguterre,1
604,continua,shout,1
605,shout,cameroonian,1
606,bringbackourinternet,freeallarreste,1
607,bringbackourinternet,stop,1
608,freeallarreste,httpst,1
609,stop,genocide,1
610,antonioguterre,httpst,1
611,leahhardingaje,antonioguterre,1
612,amnesty,report,2
613,report,section,2
614,stop,httpst,1
615,unga,stop,1
616,bbc,freeallarreste,1
617,freeallarreste,restorationnow,1
618,paologentiloni,stopthegenocide,1
619,stopthegenocide,commonwealthsec,1
620,befall,ambazonia,1
621,prpaulbiya,befall,1
622,prpaulbiya,torch,1
623,torch,ambazonia,1
624,freeallarreste,httpst,1
625,unhumanrights,freeallarreste,1
626,comedian,see,1
627,see,threat,1
628,bbcbreake,freesoutherncameroon,1
629,jennifertangyie,bbcbreake,1
630,become,african,1
631,dem,become,1
632,ambazonia,send,1
633,ambazonia,withdraw,1
634,d.o,send,2
635,d.o,withdraw,1
636,send,peace,2
637,send,people,1
638,withdraw,troop,2
639,owe,httpst,1
640,southerncameroons,owe,1
641,let,cry,2
642,un,let,2
643,know,ambazonianforlife,1
644,solution,know,1
645,add,intervention,1
646,ls,add,1
647,prpaulbiya,say,1
648,say,httpst,1
649,bringbackourinternet,freeallarreste,1
650,freeallarreste,freesoutherncameroon,1
651,freeallarreste,freesoutherncameroon,1
652,freenkongho,freeallarreste,1
653,bringbackourinternet,get,1
654,get,httpst,1
655,antonioguterre,freesoutherncameroon,1
656,commonwealthsec,antonioguterre,1
657,demiitarize,freesoutherncameroon,1
658,restorationnow,demiitarize,1
659,expose,plan,1
660,god,expose,1
661,realdonaldtrump,ambazonia,1
662,un,realdonaldtrump,1
663,freeallarreste,freeayah,1
664,freenkongho,freeallarreste,1
665,africanunion,antonioguterre,1
666,antonioguterre,httpst,1
667,cameroun,declare,1
668,declare,freesoutherncameroon,1
669,antonioguterre,incarceration,2
670,delay,incarceration,1
671,emmanuelmacron,antonioguterre,2
672,emmanuelmacron,delay,1
673,ambazonia,federate,1
674,centralise,man,2
675,federate,man,1
676,pwr,centralise,2
677,do,ambazonian,1
678,un,do,1
679,demiitarize,freesoutherncameroon,1
680,restorationnow,demiitarize,1
681,la,republique,1
682,la,thank,1
683,republique,httpst,1
684,thank,sir,1
685,freeallarreste,freesoutherncameroon,1
686,snowden,freeallarreste,1
687,ambazonia,free,1
688,free,issue,1
689,go,commonwealthsec,1
690,patriciascotla1,go,1
691,andrewchappelle,asorock,1
692,andrewchappelle,organize,2
693,asorock,exam,1
694,organize,exam,2
695,slaughter,httpst,1
696,soa,stay,1
697,stay,freesoutherncameroon,1
698,yde,slaughter,1
699,biya,suggest,1
700,commonwealthsec,suggest,1
701,suggest,antonioguterre,1
702,suggest,dialogue,1
703,suggest,httpst,1
704,u,suggest,1
705,dhc38353911,remember,1
706,ifortiyahkah,wive,1
707,remember,ambazonia,1
708,wive,jail,1
709,freellarreste,bringbackourinternet,1
710,repandrecarson,freellarreste,1
711,bbcnews,handsoffourchurchleader,1
712,handsoffourchurchleader,freesoutherncameroon,1
713,call,freesoutherncameroon,1
714,call,pple,1
715,la,call,2
716,leavenow,pple,1
717,mag,leavenow,1
718,president,stand,1
719,stand,ayah,1
720,camerountribune,mensonge,1
721,heureusement,light,1
722,light,mensonge,1
723,torchon,camerountribune,1
724,freeallarreste,freesoutherncameroon,1
725,un,freeallarreste,1
726,paulkagame,httpst,1
727,voanews,paulkagame,1
728,emmanuelmacron,watch,1
729,watch,cameroon,1
730,biya,kill,2
731,kill,cameroonian,1
732,kill,genocide,1
733,hagegeingob,say,1
734,say,httpst,1
735,biyas,live,1
736,biyas,pay,1
737,live,roll,1
738,pay,roll,1
739,discuss,lie,2
740,discuss,terrorist,1
741,issatchiromabak,discuss,3
742,cob8k4vpgirm,freesoutherncameroon,1
743,keepiton,cob8k4vpgirm,1
744,enault,get,1
745,enault,reveal,1
746,get,httpst,1
747,reveal,httpst,1
748,bring,freesoutherncameroon,1
749,cameroon,bring,1
750,go,ambazonia,2
751,pulsenigeria247,go,1
752,reutersafrica,go,1
753,look,httpst,1
754,un,look,1
755,bbcafrica,southernanglophone,3
756,southernanglophone,cameroon,2
757,southernanglophone,freesoutherncameroon,1
758,entertain,control,1
759,hen,say,1
760,kumbo,entertain,1
761,kumbo,say,1
762,say,control,2
763,e,tolerate,2
764,tolerate,ambazonia,2
765,give,freedom,2
766,unhumanrights,give,2
767,antonioguterre,fraud,1
768,become,fraud,1
769,un,antonioguterre,1
770,un,become,1
771,ajnewsgrid,httpst,1
772,antonioguterre,play,1
773,un,ajnewsgrid,1
774,un,antonioguterre,1
775,control,freesoutherncameroon,1
776,france,control,1
777,kill,civilian,1
778,moussafakim,kill,1
779,plan,stop,1
780,stop,genocideinsoutherncameroon,1
781,blackhistorymonth,freeallarreste,1
782,freeallarreste,httpst,3
783,nd,freeallarreste,2
784,ambazonia,need,1
785,antonioguterre,freedom,1
786,need,freedom,1
787,un,antonioguterre,1
788,abduct,httpst,1
789,freefombiamstrong,abduct,1
790,happen,httpst,1
791,need,httpst,1
792,weti,happen,1
793,weti,need,1
794,get,bringbackourinternet,1
795,talk,get,1
796,help,report,1
797,un,help,1
798,come,freesoutherncameroon,1
799,ishop,come,1
800,freeallarreste,httpst,1
801,freenkongho,freeallarreste,1
802,albertnchinda,occupy,1
803,occupy,camanpour,1
804,convict,freesoutherncameroon,1
805,convict,way,1
806,god,convict,2
807,freeallarreste,restorationnow,1
808,frm,freeallarreste,1
809,antonioguterre,httpst,1
810,paulbiya,antonioguterre,1
811,freeallarreste,bringbackourinternet,1
812,lilyambas,freeallarreste,1
813,antonioguterre,freesoutherncameroon,1
814,un,antonioguterre,1
815,believe,blackonblackcolonization,1
816,prpaulbiya,believe,1
817,baptistcomm,handsoffourchurche,1
818,handsoffourchurche,aumembership,1
819,see,httpst,1
820,street,see,1
821,africa,result,1
822,result,freesoutherncameroon,1
823,ajenglish,place,1
824,cnnafrica,ajenglish,1
825,cameroun,want,2
826,want,httpst,2
827,give,hope,1
828,ntaniali,give,1
829,ntaniali,said,2
830,said,hope,1
831,said,smile,1
832,crtvweb,know,1
833,know,truth,1
834,freeallarreste,antonioguterre,1
835,newtgingrich,freeallarreste,1
836,kofiannan,speak,1
837,speak,httpst,1
838,bringbackourinternet,stopthegenocide,1
839,stopthegenocide,httpst,1
840,nxt,innercitypress,1
841,rohingyas,nxt,1
842,bbcnews,cbsnew,1
843,bbcnews,rrest,1
844,cbsnew,innercitypress,1
845,rrest,humanity,1
846,freeallarreste,freesoutherncameroon,1
847,keepiton,freeallarreste,1
848,237dialogue,initiate,1
849,initiate,httpst,1
850,freeallarreste,demilitarizesoutherncameroon,1
851,tarke1tarke,freeallarreste,1
852,center,hold,1
853,hold,httpst,1
854,raise,bbcnew,1
855,unspokesperson,raise,1
856,await,freesoutherncameroon,1
857,make,freesoutherncameroon,1
858,un,await,1
859,un,make,1
860,handsoffourchurche,httpst,1
861,unhumanrights,handsoffourchurche,1
862,endeley,freeallarreste,1
863,endeley,predict,2
864,freeallarreste,httpst,1
865,predict,httpst,3
866,un,predict,1
867,freeallarreste,stopgenocide,1
868,nough,freeallarreste,1
869,biya,sheyyungri,1
870,biya,stop,2
871,sheyyungri,httpst,1
872,stop,httpst,2
873,continue,detainee,1
874,prpaulbiya,continue,1
875,cameroon,hand,1
876,hand,nation,1
877,freeallarreste,httpst,1
878,vp,freeallarreste,1
879,bringbackourinternet,freeallarreste,1
880,freeallarreste,httpst,1
881,freeallarreste,letsi,1
882,smithjeffreyt,freeallarreste,1
883,come,comrade,1
884,god,come,1
885,god,help,1
886,help,catalonia,1
887,mbarakanamozo,take,1
888,take,freesoutherncameroon,1
889,discontinue,httpst,2
890,itroen,discontinue,2
891,freeallarreste,freesoutherncameroon,1
892,freenkongho,freeallarreste,1
893,freeallarreste,restorationnow,2
894,plolumumbah,freeallarreste,2
895,commonwealthsec,look,1
896,look,arrest,1
897,camer24,eliesmith,1
898,eliesmith,httpst,1
899,freeallareste,freesoutherncameroon,1
900,freemanchobibixy,freeallareste,1
901,freemanchobibixy,tweet,1
902,tweet,freesoutherncameroon,1
903,commonwealthsec,kill,2
904,kill,httpst,2
905,amnestyusa,freeallareste,1
906,freeallareste,freesoutherncameroon,1
907,biya,declare,1
908,declare,httpst,1
909,orangecameroun,take,2
910,take,datum,1
911,take,rubbish,1
912,bbcnews,need,1
913,need,freesoutherncameroon,1
914,2day,refer,1
915,refer,bull,3
916,u,refer,2
917,federalrepublicofambazonia,freeallarreste,1
918,freeallarreste,idiet,1
919,breakingnew,southerncameroon,1
920,elp,breakingnew,1
921,handsoffourchurche,httpst,1
922,unicefusa,handsoffourchurche,1
923,lie,bringbackourinternetplease,1
924,un,lie,1
925,antonioguterre,httpst,1
926,unspokesperson,antonioguterre,1
927,freeallarreste,antonioguterre,1
928,unhumanrights,freeallarreste,1
929,crtvweb,freeallarreste,1
930,freeallarreste,freeayah,1
931,prpaulbiya,understand,1
932,understand,ambazonia,1
933,prpaulbiya,see,1
934,see,httpst,1
935,freeallarreste,freesoutherncameroon,1
936,resolution1608,freeallarreste,1
937,africaforward,handsoffourchurche,1
938,handsoffourchurche,httpst,1
939,freeallarreste,sun,1
940,hide,sun,1
941,oth,freeallarreste,1
942,oth,hide,1
943,freeallarreste,cameroon,1
944,keepiton,freeallarreste,1
945,keepiton,make,1
946,make,cameroon,1
947,ambazonia,freeallarreste,1
948,freeallarreste,httpst,1
949,africa,freeallareste,1
950,africa,suffer,1
951,freeallareste,httpst,1
952,suffer,httpst,1
953,antonioguterre,violation,1
954,seek,change,1
955,un,antonioguterre,1
956,un,seek,1
957,know,freesoutherncameroon,1
958,mimimefo237,know,1
959,deny,freedom,1
960,freeallarreste,freedom,1
961,rtcom,deny,1
962,rtcom,freeallarreste,1
963,commonwealth,respond,2
964,respond,httpst,2
965,ajnewsgrid,sisikuayuktabe,1
966,gb,ajnewsgrid,1
967,gb,refuse,1
968,gb,say,2
969,hate,say,1
970,refuse,ambazonia,1
971,say,ambazonia,2
972,say,sisikuayuktabe,1
973,speak,bringbackourinternet,1
974,techcrunch,speak,1
975,help,country,1
976,help,httpst,1
977,uk,help,2
978,emember,freeallarreste,1
979,emember,keep,1
980,freeallarreste,freedom,1
981,keep,freedom,1
982,come,httpst,2
983,takumbeng,come,2
984,cnnbrk,freeallarreste,1
985,freeallarreste,time,1
986,beatriceijang,httpst,1
987,pennsenator,beatriceijang,1
988,add,killing,1
989,cameroon,add,1
990,amnesty,prove,2
991,prove,amnestywaro,2
992,add,httpst,1
993,bbcafrica,add,1
994,blackmail,freesoutherncameroon,1
995,ou,blackmail,1
996,freeallarreste,ambazonia,1
997,mtnccare,ambazonia,1
998,sisikuayuktabe,freeallarreste,1
999,sisikuayuktabe,mtnccare,1
1000,bury,httpst,1
1001,bury,preach,1
1002,u,bury,2
1003,freeallarreste,freesoutherncameroon,1
1004,redcross,freeallarreste,1
1005,continue,eucommission,1
1006,prpaulbiya,continue,1
1007,aminajmohamme,genocideinsoutherncameroon,1
1008,njayuk,aminajmohamme,1
1009,historyyou,know,2
1010,know,people,2
1011,ambazonia,freeallarreste,2
1012,ambazonia,stop,2
1013,freeallarreste,cameroon,1
1014,freeallarreste,httpst,1
1015,stop,abuse,1
1016,stop,cameroon,1
1017,freeallarreste,restorationnow,2
1018,lrc,freeallarreste,2
1019,freeallarreste,stopbiyasgenocide,1
1020,restorationnow,freeallarreste,1
1021,restorationnow,unnewscentre,1
1022,unnewscentre,stopbiyasgenocide,1
1023,amnestywaro,antonioguterre,1
1024,amnestywaro,continue,1
1025,antonioguterre,httpst,1
